name,price,miniature,big_image,description,details,subcategory
Mass Effect 3 - Ashley Williams [Play Arts Kai],"138,19 €",Mass Effect 3 - Ashley Williams [Play Arts Kai].jpg,Mass Effect 3 - Ashley Williams [Play Arts Kai]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><div style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 10px; background-image: initial; background-attachment: initial; background-origin: initial; background-clip: initial; background-color: #ffffff; margin: 8px;""><p><strong>Japanese original edition, brand new pre-painted figure</strong><br/><br/><br/><strong>Maker :</strong><strong> </strong><strong>Square Enix</strong><br style=""padding: 0px; margin: 0px;""/><strong>Materials :</strong><strong> </strong><span style=""font-weight: normal;"">ABS, PVC</span><br style=""padding: 0px; margin: 0px;""/><strong>Size :</strong><strong> </strong><strong>N/A</strong></p></div><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601316965</span><div class=""product-page-attributes product-page-attributes--bottom""></div></div></div>",,Play Arts
Bayonetta - Jeanne [Play Arts Kai],"825,68 €",Bayonetta - Jeanne [Play Arts Kai].jpg,Bayonetta - Jeanne [Play Arts Kai]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><strong>Japanese <strong>original e<strong>dition</strong></strong>, brand new</strong><em><span style=""font-style: normal;""><em><br/> </em></span></em><br/> <em><span style=""font-style: normal;""><em><br/> </em></span></em><span style=""font-style: normal;""><strong>Maker : </strong></span>Sega<br/> <span style=""font-style: normal;""><strong>Size : </strong></span>14.2cm × 3.7cm × 22.8cm<br/> <span style=""font-weight: bold;""><br/> </span></p><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601313773</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=sega"">sega</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Bayonetta"">Bayonetta</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Play+Arts+Kai"">Play Arts Kai</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Jeanne"">Jeanne</a></div></div></div></div>",,Play Arts
Bayonetta - Bayonetta [Play Arts Kai],"212,35 €",Bayonetta - Bayonetta [Play Arts Kai].jpg,Bayonetta - Bayonetta [Play Arts Kai]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><strong>Japanese <strong>original e<strong>dition</strong></strong>, brand new</strong><em><span style=""font-style: normal;""><em><br/> </em></span></em><br/> <em><span style=""font-style: normal;""><em><br/> </em></span></em><span style=""font-style: normal;""><strong>Maker : </strong></span>Sega<br/> <span style=""font-style: normal;""><strong>Size : </strong></span>16.5cm × 4.2cm × 23.7cm<br/> <span style=""font-weight: bold;""><br/> </span></p><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601313766</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=sega"">sega</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Bayonetta"">Bayonetta</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Play+Arts+Kai"">Play Arts Kai</a></div></div></div></div>",,Play Arts
Final Fantasy XIII - Snow Villiers [Play Arts Kai],"100,32 €",Final Fantasy XIII - Snow Villiers [Play Arts Kai].jpg,Final Fantasy XIII - Snow Villiers [Play Arts Kai]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><strong>Japanese edition, brand new</strong><br/><em><span><em><br/></em></span></em><span><strong>Maker : </strong></span>Square-Enix<br/><span><strong>Height : </strong></span>26,1 cm</p><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601313216</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=ff+xiii"">ff xiii</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Final+Fantasy+13"">Final Fantasy 13</a> <a href=""https://www.nin-nin-game.com/en/search?tag=xiii"">xiii</a> <a href=""https://www.nin-nin-game.com/en/search?tag=ff+13"">ff 13</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Play+Arts+Kai"">Play Arts Kai</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Snow+Villiers"">Snow Villiers</a></div></div></div></div>",,Play Arts
Final Fantasy XIII - Oerba Dia Vanille [Play Arts Kai],"84,82 €",Final Fantasy XIII - Oerba Dia Vanille [Play Arts Kai].jpg,Final Fantasy XIII - Oerba Dia Vanille [Play Arts Kai]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><strong>Japanese edition, brand new</strong></p><p><strong><br/></strong></p><p><strong><span><strong>Maker : </strong></span></strong>Square-Enix<strong><br/><span><strong>Height : </strong></span></strong>22,5 cm</p><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601313223</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=ff+xiii"">ff xiii</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Final+Fantasy+13"">Final Fantasy 13</a> <a href=""https://www.nin-nin-game.com/en/search?tag=xiii"">xiii</a> <a href=""https://www.nin-nin-game.com/en/search?tag=ff+13"">ff 13</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Play+Arts+Kai"">Play Arts Kai</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Oerba+Dia+Vanille"">Oerba Dia Vanille</a></div></div></div></div>",,Play Arts
Final Fantasy XIII - Lightning [Play Arts Kai],"102,02 €",Final Fantasy XIII - Lightning [Play Arts Kai].jpg,Final Fantasy XIII - Lightning [Play Arts Kai]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><strong>Japanese edition, brand new</strong><em><span><em><br/></em></span></em><br/><em><span><em><br/></em></span></em><span><strong>Maker : </strong></span>Square-Enix<br/><span><strong>Height : </strong></span>22,8 cm</p><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601313209</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=Lightning"">Lightning</a> <a href=""https://www.nin-nin-game.com/en/search?tag=ff+xiii"">ff xiii</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Final+Fantasy+13"">Final Fantasy 13</a> <a href=""https://www.nin-nin-game.com/en/search?tag=xiii"">xiii</a> <a href=""https://www.nin-nin-game.com/en/search?tag=ff+13"">ff 13</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Play+Arts+Kai"">Play Arts Kai</a></div></div></div></div>",,Play Arts
Play Arts Kai Rude Final Fantasy VII Remake [Square Enix],"111,38 €",Play Arts Kai Rude Final Fantasy VII Remake [Square Enix].jpg,Play Arts Kai Rude Final Fantasy VII Remake [Square Enix]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p style=""font-size: 10px;""><span style=""font-size: small;""><strong>Japanese Original Edition, Brand New Figure</strong></span></p><p style=""font-size: 10px;""><span style=""font-size: small;""><br/><em></em><span style=""color: #444444; line-height: 14px; font-weight: normal;""><strong><br/>Details </strong></span></span></p><hr/><p><span style=""font-size: small;""><strong> </strong><strong> </strong> </span></p><ul style=""position: static; z-index: auto; padding: 0px; margin: 5px;""><li style=""padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""font-size: 10px; display: block; float: left; color: #888888; width: 212px;""><strong><span style=""font-size: small;""><span style=""font-size: small;"">Maker</span></span></strong></label><div style=""overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><ul style=""padding: 0px; margin: 0px;""><li style=""list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; padding: 0px; margin: 0px;""><span style=""font-size: x-small;""><span style=""font-size: small; text-align: justify;""><span style=""color: #000000;"">Square Enix</span></span></span></li></ul></div></li><li style=""font-size: 10px; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""display: block; float: left; color: #888888; width: 212px;""><strong><span style=""font-size: small;""><span style=""font-size: small;"">Materials</span></span></strong></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""color: #333333; font-size: x-small;""><span style=""color: #000000;""><span style=""font-size: small;"">ABS, PVC</span></span></span></div></li><li style=""font-size: 10px; font-weight: normal; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""font-size: 10px; display: block; float: left; color: #888888; width: 212px;""><span style=""font-size: small;""><strong><span style=""font-size: small;"">Size</span></strong></span></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""font-size: small;"">28 CM tall</span></div></li><li style=""font-size: 10px; font-weight: normal; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""display: block; float: left; color: #888888; width: 212px;""><span style=""font-size: x-small;""><strong><span style=""font-size: small;"">Release Date<br/></span></strong></span></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""font-size: x-small;""><span style=""font-size: small;""><span style=""font-size: small;"">2021/01<span> &gt;&gt; 05<span> &gt;&gt; 08 &gt;&gt; 09</span></span></span></span></span></div></li></ul><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601348676</span><div class=""product-page-attributes product-page-attributes--bottom""></div></div></div>",,Play Arts
Play Arts Kai Sephiroth Final Fantasy VII Remake [Square Enix],"138,32 €",Play Arts Kai Sephiroth Final Fantasy VII Remake [Square Enix].jpg,Play Arts Kai Sephiroth Final Fantasy VII Remake [Square Enix]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p style=""font-size: 10px;""><span style=""font-size: small;""><strong>Japanese Original Edition, Brand New Figure</strong></span></p><p style=""font-size: 10px;""><span style=""font-size: small;""><br/><em></em><span style=""color: #444444; line-height: 14px; font-weight: normal;""><strong><br/>Details </strong></span></span></p><hr/><p><span style=""font-size: small;""><strong> </strong><strong> </strong> </span></p><ul style=""position: static; z-index: auto; padding: 0px; margin: 5px;""><li style=""padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""font-size: 10px; display: block; float: left; color: #888888; width: 212px;""><strong><span style=""font-size: small;""><span style=""font-size: small;"">Maker</span></span></strong></label><div style=""overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><ul style=""padding: 0px; margin: 0px;""><li style=""list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; padding: 0px; margin: 0px;""><span style=""font-size: x-small;""><span style=""font-size: small; text-align: justify;""><span style=""color: #000000;"">Square Enix</span></span></span></li></ul></div></li><li style=""font-size: 10px; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""display: block; float: left; color: #888888; width: 212px;""><strong><span style=""font-size: small;""><span style=""font-size: small;"">Materials</span></span></strong></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""color: #333333; font-size: x-small;""><span style=""color: #000000;""><span style=""font-size: small;"">ABS, PVC</span></span></span></div></li><li style=""font-size: 10px; font-weight: normal; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""font-size: 10px; display: block; float: left; color: #888888; width: 212px;""><span style=""font-size: small;""><strong><span style=""font-size: small;"">Size</span></strong></span></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""font-size: small;"">28 CM tall</span></div></li><li style=""font-size: 10px; font-weight: normal; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""display: block; float: left; color: #888888; width: 212px;""><span style=""font-size: x-small;""><strong><span style=""font-size: small;"">Release Date<br/></span></strong></span></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""font-size: x-small;""><span style=""font-size: small;""><span style=""font-size: small;"">2021/02<span> &gt;&gt; 06<span> &gt;&gt; 09<span> &gt;&gt; 10</span></span></span></span></span></span></div></li></ul><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601350105</span><div class=""product-page-attributes product-page-attributes--bottom""></div></div></div>",,Play Arts
Play Arts Kai Reno Final Fantasy VII Remake [Square Enix],£96.32,Play Arts Kai Reno Final Fantasy VII Remake [Square Enix].jpg,Play Arts Kai Reno Final Fantasy VII Remake [Square Enix]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p style=""font-size: 10px;""><span style=""font-size: small;""><strong>Japanese Original Edition, Brand New Figure</strong></span></p><p style=""font-size: 10px;""><span style=""font-size: small;""><br/><em></em><span style=""color: #444444; line-height: 14px; font-weight: normal;""><strong><br/>Details </strong></span></span></p><hr/><p><span style=""font-size: small;""><strong> </strong><strong> </strong> </span></p><ul style=""position: static; z-index: auto; padding: 0px; margin: 5px;""><li style=""padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""font-size: 10px; display: block; float: left; color: #888888; width: 212px;""><strong><span style=""font-size: small;""><span style=""font-size: small;"">Maker</span></span></strong></label><div style=""overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><ul style=""padding: 0px; margin: 0px;""><li style=""list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; padding: 0px; margin: 0px;""><span style=""font-size: x-small;""><span style=""font-size: small; text-align: justify;""><span style=""color: #000000;"">Square Enix</span></span></span></li></ul></div></li><li style=""font-size: 10px; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""display: block; float: left; color: #888888; width: 212px;""><strong><span style=""font-size: small;""><span style=""font-size: small;"">Materials</span></span></strong></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""color: #333333; font-size: x-small;""><span style=""color: #000000;""><span style=""font-size: small;"">ABS, PVC</span></span></span></div></li><li style=""font-size: 10px; font-weight: normal; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""font-size: 10px; display: block; float: left; color: #888888; width: 212px;""><span style=""font-size: small;""><strong><span style=""font-size: small;"">Size</span></strong></span></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""font-size: small;"">28 CM tall</span></div></li><li style=""font-size: 10px; font-weight: normal; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""display: block; float: left; color: #888888; width: 212px;""><span style=""font-size: x-small;""><strong><span style=""font-size: small;"">Release Date<br/></span></strong></span></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""font-size: x-small;""><span style=""font-size: small;""><span style=""font-size: small;"">2020/12<span> &gt;&gt; 2021/04<span> &gt;&gt; 07<span> &gt;&gt; 08</span></span></span></span></span></span></div></li></ul><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601348669</span><div class=""product-page-attributes product-page-attributes--bottom""></div></div></div>",,Play Arts
Play Arts Kai Barret Wallace Final Fantasy VII Remake [Square Enix],"¥30,940",Play Arts Kai Barret Wallace Final Fantasy VII Remake [Square Enix].jpg,Play Arts Kai Barret Wallace Final Fantasy VII Remake [Square Enix]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p style=""font-size: 10px;""><span style=""font-size: small;""><strong>Japanese Original Edition, Brand New Figure</strong></span></p><p style=""font-size: 10px;""><span style=""font-size: small;""><br/><em></em><span style=""color: #444444; line-height: 14px; font-weight: normal;""><strong><br/>Details </strong></span></span></p><hr/><p><span style=""font-size: small;""><strong> </strong><strong> </strong> </span></p><ul style=""position: static; z-index: auto; padding: 0px; margin: 5px;""><li style=""padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""font-size: 10px; display: block; float: left; color: #888888; width: 212px;""><strong><span style=""font-size: small;""><span style=""font-size: small;"">Maker</span></span></strong></label><div style=""overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><ul style=""padding: 0px; margin: 0px;""><li style=""list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; padding: 0px; margin: 0px;""><span style=""font-size: x-small;""><span style=""font-size: small; text-align: justify;""><span style=""color: #000000;"">Square Enix</span></span></span></li></ul></div></li><li style=""font-size: 10px; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""display: block; float: left; color: #888888; width: 212px;""><strong><span style=""font-size: small;""><span style=""font-size: small;"">Materials</span></span></strong></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""color: #333333; font-size: x-small;""><span style=""color: #000000;""><span style=""font-size: small;"">ABS, PVC</span></span></span></div></li><li style=""font-size: 10px; font-weight: normal; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""font-size: 10px; display: block; float: left; color: #888888; width: 212px;""><span style=""font-size: small;""><strong><span style=""font-size: small;"">Size</span></strong></span></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""font-size: small;"">25 CM tall</span></div></li><li style=""font-size: 10px; font-weight: normal; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""display: block; float: left; color: #888888; width: 212px;""><span style=""font-size: x-small;""><strong><span style=""font-size: small;"">Release Date<br/></span></strong></span></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""font-size: x-small;""><span style=""font-size: small;""><span style=""font-size: small;"">2020/<span>09</span><span> &gt;&gt; 10</span></span></span></span></div></li></ul><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601350143</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=lockheart"">lockheart</a></div></div></div></div>",,Play Arts
Play Arts Kai Aeris Gainsborough Final Fantasy VII Remake [Square Enix],"126,75 €",Play Arts Kai Aeris Gainsborough Final Fantasy VII Remake [Square Enix].jpg,Play Arts Kai Aeris Gainsborough Final Fantasy VII Remake [Square Enix]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p style=""font-size: 10px;""><span style=""font-size: small;""><strong>Japanese Original Edition, Brand New Figure</strong></span></p><p style=""font-size: 10px;""><span style=""font-size: small;""><br/><em></em><span style=""color: #444444; line-height: 14px; font-weight: normal;""><strong><br/>Details </strong></span></span></p><hr/><p><span style=""font-size: small;""><strong> </strong><strong> </strong> </span></p><ul style=""position: static; z-index: auto; padding: 0px; margin: 5px;""><li style=""padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""font-size: 10px; display: block; float: left; color: #888888; width: 212px;""><strong><span style=""font-size: small;""><span style=""font-size: small;"">Maker</span></span></strong></label><div style=""overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><ul style=""padding: 0px; margin: 0px;""><li style=""list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; padding: 0px; margin: 0px;""><span style=""font-size: x-small;""><span style=""font-size: small; text-align: justify;""><span style=""color: #000000;"">Square Enix</span></span></span></li></ul></div></li><li style=""font-size: 10px; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""display: block; float: left; color: #888888; width: 212px;""><strong><span style=""font-size: small;""><span style=""font-size: small;"">Materials</span></span></strong></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""color: #333333; font-size: x-small;""><span style=""color: #000000;""><span style=""font-size: small;"">ABS, PVC</span></span></span></div></li><li style=""font-size: 10px; font-weight: normal; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""font-size: 10px; display: block; float: left; color: #888888; width: 212px;""><span style=""font-size: small;""><strong><span style=""font-size: small;"">Size</span></strong></span></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""font-size: small;"">25 CM tall</span></div></li><li style=""font-size: 10px; font-weight: normal; padding-top: 2px; padding-right: 10px; padding-bottom: 2px; padding-left: 0px; list-style-type: none; list-style-position: initial; list-style-image: initial; clear: both; margin: 0px;""><label style=""display: block; float: left; color: #888888; width: 212px;""><span style=""font-size: x-small;""><strong><span style=""font-size: small;"">Release Date<br/></span></strong></span></label><div style=""font-weight: normal; overflow-x: hidden; overflow-y: hidden; padding: 0px; margin: 0px;""><span style=""font-size: x-small;""><span style=""font-size: small;""><span style=""font-size: small;"">2020/11<span> &gt;&gt; 2021/03<span> &gt;&gt; 07</span></span></span></span></span></div></li></ul><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601348683</span><div class=""product-page-attributes product-page-attributes--bottom""></div></div></div>",,Play Arts
Bayonetta - Jeanne [Play Arts Kai] [Used],"108,83 €",Bayonetta - Jeanne [Play Arts Kai] [Used].jpg,Bayonetta - Jeanne [Play Arts Kai] [Used]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><strong>Japanese <strong>original, used</strong></strong><em><span style=""font-style: normal;""><em><br/> </em></span></em><br/> <em><span style=""font-style: normal;""><em><br/> </em></span></em><span style=""font-style: normal;""><strong>Maker : </strong></span>Sega<br/> <span style=""font-style: normal;""><strong>Size : </strong></span>14.2cm × 3.7cm × 22.8cm<br/> <span style=""font-weight: bold;""><br/> </span></p><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601313773</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=sega"">sega</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Bayonetta"">Bayonetta</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Play+Arts+Kai"">Play Arts Kai</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Jeanne"">Jeanne</a></div></div></div></div>",,Play Arts
Bayonetta - Bayonetta [Play Arts Kai] [Used],"230,54 €",Bayonetta - Bayonetta [Play Arts Kai] [Used].jpg,Bayonetta - Bayonetta [Play Arts Kai] [Used]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><strong>Japanese <strong>original e<strong>dition</strong></strong>, used</strong><em><span style=""font-style: normal;""><em><br/> </em></span></em><br/> <em><span style=""font-style: normal;""><em><br/> </em></span></em><span style=""font-style: normal;""><strong>Maker : </strong></span>Sega<br/> <span style=""font-style: normal;""><strong>Size : </strong></span>16.5cm × 4.2cm × 23.7cm<br/> <span style=""font-weight: bold;""><br/> </span></p><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4988601313766</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=sega"">sega</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Bayonetta"">Bayonetta</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Play+Arts+Kai"">Play Arts Kai</a></div></div></div></div>",,Play Arts
